Neighborhood,Population (2010),Total Working Pop. (Age 16+) (2010),Crimes Reported,Crimes per Population
Allegheny Center,933,386,143,2.70
Allegheny West,462,151,31,4.87
Allentown,2500,824,231,3.57
Arlington,1869,673,96,7.01
Arlington Heights,244,72,54,1.33
Banksville,4144,2506,29,86.41
Bedford Dwellings,1202,305,188,1.62
Beechview,7974,3909,206,18.98
Beltzhoover,1925,706,119,5.93
Bloomfield,8442,5117,204,25.08
Bluff,6600,1379,174,7.93
Bon Air,808,438,29,15.10
Brighton Heights,7247,3968,276,14.38
Brookline,13214,7067,199,35.51
California-Kirkbride,761,227,65,3.49
Carrick,10113,4783,494,9.68
Central Business District,3629,1566,511,3.06
Central Lawrenceville,4482,2111,114,18.52
Central Northside,2923,1514,94,16.11
Central Oakland,6086,2509,112,22.40
Chartiers City,477,178,35,5.09
Chateau,11,0,62,0.00
Crafton Heights,3814,1757,207,8.49
Crawford-Roberts,2256,635,170,3.74
Duquesne Heights,2425,1223,19,64.37
East Allegheny,2136,1195,161,7.42
East Carnegie,570,86,12,7.17
East Hills,3169,802,326,2.46
East Liberty,5869,2377,296,8.03
Elliott,2381,949,156,6.08
Esplen,301,68,45,1.51
Fairywood,1002,116,47,2.47
Fineview,1285,547,127,4.31
Friendship,1785,936,28,33.43
Garfield,3675,1472,184,8.00
Glen Hazel,716,89,33,2.70
Greenfield,7294,4363,89,49.02
Hays,362,166,30,5.53
Hazelwood,4317,1729,248,6.97
Highland Park,6395,3699,114,32.45
Homewood North,3280,1174,497,2.36
Homewood South,2344,598,482,1.24
Homewood West,818,285,178,1.60
Knoxville,3747,1493,358,4.17
Larimer,1728,462,206,2.24
Lincoln Place,3227,1881,55,34.20
Lincoln-Lemington-Belmar,4883,1607,356,4.51
Lower Lawrenceville,2341,1182,59,20.03
Manchester,2130,749,126,5.94
Marshall-Shadeland,6043,2006,333,6.02
Middle Hill,1707,606,210,2.89
Morningside,3346,1921,27,71.15
Mount Washington,8799,5247,241,21.77
Mt. Oliver,509,196,35,5.60
New Homestead,990,737,8,92.13
North Oakland,10551,3436,116,29.62
North Shore,303,161,97,1.66
Northview Heights,1214,296,211,1.40
Oakwood,1027,431,12,35.92
Overbrook,3644,2015,46,43.80
Perry North,4050,2056,139,14.79
Perry South,4145,1485,269,5.52
Point Breeze,5315,3177,72,44.13
Point Breeze North,2054,969,69,14.04
Polish Hill,1274,921,34,27.09
Regent Square,928,614,8,76.75
Ridgemont,483,276,6,46.00
Shadyside,13915,8223,146,56.32
Sheraden,5299,2438,546,4.47
South Oakland,2969,1132,54,20.96
South Shore,19,38,31,1.23
South Side Flats,6597,4328,602,7.19
South Side Slopes,4423,2586,132,19.59
Spring Garden,884,638,35,18.23
Spring Hill-City View,2648,899,169,5.32
Squirrel Hill North,11363,5962,59,101.05
Squirrel Hill South,15110,7779,154,50.51
St. Clair,209,289,35,8.26
Stanton Heights,4601,2468,49,50.37
Strip District,616,277,98,2.83
Summer Hill,1051,643,15,42.87
Swisshelm Park,1361,710,3,236.67
Terrace Village,3228,1031,77,13.39
Troy Hill,2714,1370,52,26.35
Upper Hill,2057,633,102,6.21
Upper Lawrenceville,2669,1163,41,28.37
West End,254,64,26,2.46
West Oakland,2604,834,74,11.27
Westwood,3066,1563,41,38.12
Windgap,1369,567,70,8.10